date,docket
2014-11-03,2012-08-01
2014-11-10,2012-09-01
2014-11-17,2012-09-01
2014-11-24,2012-10-01
2014-12-01,2012-10-01
2014-12-08,2012-10-01
2014-12-15,2012-11-01
2014-12-22,2012-11-01
2015-01-09,2012-11-01
2015-01-20,2013-02-01
2015-01-26,2013-02-01
2015-02-02,2013-03-01
2015-02-09,2013-04-01
2015-02-17,2013-05-01
2015-02-23,2013-05-01
2015-03-02,2013-04-01
2015-03-09,2013-05-01
2015-03-16,2013-05-01
2015-03-23,2013-06-01
2015-03-30,2013-08-01
2015-04-06,2013-09-01
2015-04-13,2013-09-01
2015-04-20,2013-09-01
2015-04-27,2013-10-01
2015-05-04,2013-12-01
2015-05-11,2013-12-01
2015-05-18,2014-01-01
2015-05-27,2014-01-01
2015-06-01,2014-03-01
2015-06-08,2014-04-01
2015-06-15,2014-03-01
2015-06-22,2014-03-01
2015-06-29,2014-03-01
2015-07-06,2014-03-01
2015-07-13,2014-03-01
2015-07-20,2014-03-01
2015-07-27,2014-03-01
2015-08-03,2014-02-01
2015-08-10,2014-03-01
2015-08-17,2014-03-01
2015-08-24,2014-03-01
2015-08-31,2014-03-01
2015-09-08,2014-04-01
2015-09-14,2014-04-01
2015-09-21,2014-05-01
2015-09-28,2014-05-01
2015-10-05,2014-05-01
2015-10-12,2014-05-01
2015-10-19,2014-06-01
2015-10-26,2014-05-01
2015-11-02,2014-06-01
2015-11-09,2014-06-01
2015-11-23,2014-06-01
2015-11-30,2014-06-01
2015-12-07,2014-06-01
2015-12-14,2014-06-01
2015-12-21,2014-06-01
2015-12-28,2014-05-01
2016-01-04,2014-06-01
2016-01-11,2014-05-01
2016-01-18,2014-06-01
2016-01-25,2014-06-01
2016-02-01,2014-07-01
2016-02-08,2014-07-01
2016-02-16,2014-04-01
2016-02-23,2014-05-01
2016-02-29,2013-09-01
2016-03-07,2013-10-01
2016-03-14,2013-10-01
2016-03-21,2013-11-01
2016-03-28,2013-12-01
2016-04-04,2014-01-01
2016-04-11,2014-03-01
2016-04-18,2014-07-01
2016-04-25,2014-06-01
2016-05-02,2014-07-01
2016-05-09,2014-06-01
2016-05-16,2014-07-01
2016-05-23,2014-07-01
2016-05-30,2014-07-01
2016-06-06,2014-07-01
2016-06-13,2014-08-01
2016-06-20,2014-08-01
2016-06-28,2014-08-01
2016-07-05,2014-06-01
2016-07-12,2014-07-01
2016-07-19,2014-08-01
2016-07-26,2014-08-01
2016-08-01,2014-08-01
2016-08-08,2014-08-01
2016-08-15,2014-08-01
2016-08-22,2014-08-01
2016-08-29,2014-06-01
2016-09-06,2014-07-01
2016-09-13,2014-07-01
2016-09-20,2014-07-01
2016-09-27,2014-09-01
2016-10-03,2014-09-01
2016-10-11,2014-09-01
2016-10-18,2014-08-01
2016-10-25,2014-07-01
2016-10-31,
2016-11-07,2014-01-01
2016-11-14,2014-01-01
2016-11-21,
2016-11-28,2013-10-01
2016-12-05,2013-08-01
2016-12-12,2013-10-01
2016-12-19,2013-09-01
2016-12-26,2013-04-01
2017-01-02,2013-05-01
2017-01-09,2013-06-01
2017-01-16,2013-06-01
2017-01-23,2013-04-01
2017-01-30,2013-02-01
2017-02-06,2013-02-01
2017-02-13,2013-01-01
2017-02-20,2012-11-01
2017-02-27,2012-10-01
2017-03-06,2013-01-01
2017-03-13,2013-02-01
2017-03-20,2013-03-01
2017-03-27,2013-04-01
2017-04-03,2013-05-01
2017-04-10,2013-07-01
2017-04-17,2013-07-01
2017-04-27,2013-06-01
2017-05-01,2013-06-01
2017-05-08,2013-07-01
2017-05-15,2013-08-01
2017-05-22,2013-08-01
2017-05-29,2013-08-01
2017-06-05,2013-08-01
2017-06-12,2013-09-01
2017-06-19,2013-09-01
2017-06-26,2013-09-01
2017-07-03,2013-09-01
2017-07-10,2013-09-01
2017-07-17,2013-10-01
2017-07-24,2013-10-01
2017-07-31,2013-10-01
2017-08-07,2013-10-01
2017-08-14,2013-11-01
2017-08-21,2013-12-01
2017-08-28,2013-12-01
2017-09-04,2014-01-01
2017-09-11,2014-01-01
2017-09-18,2014-02-01
2017-09-25,2014-02-01
2017-10-02,2014-02-01
2017-10-09,2014-02-01
2017-10-16,2014-03-01
2017-10-23,2014-03-01
2017-10-30,2014-05-01
2017-11-06,2014-04-01
2017-11-13,2014-05-01
2017-11-20,2014-05-01
,
