BFREGOFF,Name,Station,Timezone,Category
RO01,"Boston, MA",301,America/New_York,
RO02,"Togus, ME",402,America/New_York,
RO04,"Providence, RI",304,America/New_York,
RO05,"White River Junction, VT",405,America/New_York,
RO06,"New York, NY",306,America/New_York,
RO07,"Buffalo, NY",307,America/New_York,
RO08,"Hartford, CT",308,America/New_York,
RO09,"Newark, NJ",309,America/New_York,
RO10,"Philadelphia, PA",310,America/New_York,
RO11,"Pittsburgh, PA",311,America/New_York,
RO13,"Baltimore, MD",313,America/New_York,
RO14,"Roanoke, VA",314,America/New_York,
RO15,"Huntington, WV",315,America/New_York,
RO16,"Atlanta, GA",316,America/New_York,
RO17,"St. Petersburg, FL",317,America/New_York,
RO18,"Winston-Salem, NC",318,America/New_York,
RO19,"Columbia, SC",319,America/New_York,
RO20,"Nashville, TN",320,America/Chicago,
RO21,"New Orleans, LA",321,America/Chicago,
RO22,"Montgomery, AL",322,America/Chicago,
RO23,"Jackson, MS",323,America/Chicago,
RO25,"Cleveland, OH",325,America/New_York,
RO26,"Indianapolis, IN",326,America/Indiana/Indianapolis,
RO27,"Louisville, KY",327,America/Kentucky/Louisville,
RO28,"Chicago, IL",328,America/Chicago,
RO29,"Detroit, MI",329,America/New_York,
RO30,"Milwaukee, WI",330,America/Chicago,
RO31,"St. Louis, MO",331,America/Chicago,
RO33,"Des Moines, IA",333,America/Chicago,
RO34,"Lincoln, NE",334,America/Chicago,
RO35,"St. Paul, MN",335,America/Chicago,
RO36,"Ft. Harrison, MT",436,America/Denver,
RO37,"Fargo, ND",437,America/Chicago,
RO38,"Sioux Falls, SD",438,America/Chicago,
RO39,"Denver, CO",339,America/Denver,
RO40,"Albuquerque, NM",340,America/Chicago,
RO41,"Salt Lake City, UT",341,America/Denver,
RO42,"Cheyenne, WY",442,America/Denver,
RO43,"Oakland, CA",343,America/Los_Angeles,
RO44,"Los Angeles, CA",344,America/Los_Angeles,
RO45,"Phoenix, AZ",345,America/Denver,
RO46,"Seattle, WA",346,America/Los_Angeles,
RO47,"Boise, ID",347,America/Boise,
RO48,"Portland, OR",348,America/Los_Angeles,
RO49,"Waco, TX",349,America/Chicago,
RO50,"Little Rock, AR",350,America/Chicago,
RO51,"Muskogee, OK",351,America/Chicago,
RO52,"Wichita, KS",452,America/Chicago,
RO54,"Reno, NV",354,America/Los_Angeles,
RO55,"San Juan, PR",355,America/Puerto_Rico,
RO58,"Manila, PI",358,Asia/Manila,
RO59,"Honolulu, HI",459,Pacific/Honolulu,
RO60,"Wilmington, DE",460,America/New_York,
RO62,"Houston, TX",362,America/Chicago,
RO63,"Anchorage, AK",363,America/Anchorage,
RO72,"Washington, DC",372,America/New_York,
RO73,"Manchester, NH",373,America/New_York,
RO77,"San Diego, CA",377,America/Los_Angeles,
RO03,White River Foreign Cases,405,America/New_York,Foreign
RO71,Pittsburgh Foreign Cases,311,America/New_York,Foreign
RO74,Philadelphia RACC,310,America/New_York,RACC
RO75,Milwaukee RACC,330,America/Chicago,RACC
RO76,St. Paul RACC,335,America/Chicago,RACC
RO80,Philadelphia Insurance Center,310,America/New_York,Insurance
RO81,Philadelphia Pension Center,310,America/New_York,PMC
RO82,Milwaukee Pension Center,330,America/Chicago,PMC
RO83,St. Paul Pension Center,335,America/Chicago,PMC
RO84,Philadelphia COWAC,310,America/New_York,COWAC
RO85,Milwaukee COWAC,330,America/Chicago,COWAC
RO86,St. Paul COWAC,335,America/Chicago,COWAC
RO87,Atlanta Health Eligibility Center,316,America/New_York,
RO88,LGY Eligibility Center (Winston-Salem),318,America/New_York,
RO89,General Counsel,,America/New_York,
RO91,Buffalo Education Center,307,America/New_York,Education
RO92,Atlanta Education Center,316,America/New_York,Education
RO93,Muskogee Education Center,351,America/Chicago,Education
RO94,St. Louis Education Center,331,America/Chicago,Education
RO98,NCA,,America/Chicago,NCA
RO99,VHA CO,,America/New_York,VHA
